customer_id,recency,frequency,monetary,R,F,M,RFM_score
12346,325,1,77183.6,1,1,5,7
12347,2,7,4310.0,5,5,5,15
12348,75,4,1797.24,2,4,4,10
12349,18,1,1757.55,4,1,4,9
12350,310,1,334.4,1,1,2,4
12352,36,8,2506.04,3,5,5,13
12353,204,1,89.0,1,1,1,3
12354,232,1,1079.4,1,1,4,6
12355,214,1,459.4,1,1,2,4
12356,22,3,2811.43,4,3,5,12
12357,33,1,6207.67,3,1,5,9
12358,1,2,1168.06,5,2,4,11
12359,57,4,6372.58,3,4,5,12
12360,52,3,2662.06,3,3,5,11
12361,287,1,189.9,1,1,1,3
12362,3,10,5226.23,5,5,5,15
12363,109,2,552.0,2,2,3,7
12364,7,4,1313.1,5,4,4,13
12365,291,2,641.38,1,2,3,6
12367,4,1,168.9,5,1,1,7
12370,51,4,3545.69,3,4,5,12
12371,44,2,1887.96,3,2,4,9
12372,71,3,1298.04,3,3,4,10
12373,311,1,364.6,1,1,2,4
12374,25,1,742.9300000000001,4,1,3,8
12375,10,2,457.5,5,2,2,9
12377,315,2,1628.12,1,2,4,7
12378,129,1,4008.62,2,1,5,8
12379,81,2,852.24,2,2,3,7
12380,21,4,2724.81,4,4,5,13
12381,4,5,1845.31,5,4,4,13
12383,184,5,1850.56,1,4,4,9
12384,28,2,585.27,4,2,3,9
12386,337,2,401.9,1,2,2,5
12388,15,6,2780.66,4,4,5,13
12390,79,1,549.84,2,1,3,6
12391,21,1,460.89,4,1,2,7
12393,72,4,1582.6000000000001,2,4,4,10
12394,63,2,1272.48,3,2,4,9
12395,19,12,3018.63,4,5,5,14
12397,35,2,2409.9,3,2,5,10
12398,45,1,1635.6599999999999,3,1,4,8
12399,119,4,1108.65,2,4,4,10
12401,303,1,84.3,1,1,1,3
12402,323,1,225.6,1,1,1,3
12403,49,1,427.7,3,1,2,6
12405,148,1,1710.39,2,1,4,7
12406,22,2,3415.3,4,2,5,11
12407,49,5,1708.1200000000001,3,4,4,11
12408,32,5,2888.55,4,4,5,13
12409,78,3,11072.67,2,3,5,10
12410,308,2,693.3299999999999,1,2,3,6
12412,74,3,1226.88,2,3,4,9
12413,66,3,758.1,3,3,3,9
12414,217,3,562.41,1,3,3,7
12415,24,21,124914.53,4,5,5,14
12417,3,9,3649.1,5,5,5,15
12418,112,1,668.58,2,1,3,6
12420,63,1,600.39,3,1,3,7
12421,15,4,807.04,4,4,3,11
12422,95,3,803.5600000000001,2,3,3,8
12423,0,8,1859.31,5,5,4,14
12424,162,2,1760.96,2,2,4,8
12425,78,1,777.2,2,1,3,6
12426,194,1,582.73,1,1,3,5
12427,21,3,825.8,4,3,3,10
12428,25,9,7956.46,4,5,5,14
12429,9,4,3750.4,5,4,5,14
12430,43,1,256.4,3,1,2,6
12431,35,15,6487.45,3,5,5,13
12432,42,5,5059.32,3,4,5,12
12433,0,7,13375.87,5,5,5,15
12434,84,2,806.14,2,2,3,7
12435,79,2,7829.89,2,2,5,9
12436,99,1,509.01,2,1,3,6
12437,1,18,4951.41,5,5,5,15
12438,14,2,2906.85,4,2,5,11
12441,366,1,173.55,1,1,1,3
12442,3,1,172.06,5,1,1,7
12444,21,5,5005.46,4,4,5,13
12445,22,1,133.4,4,1,1,6
12446,57,1,1002.3100000000001,3,1,4,8
12447,243,1,476.49,1,1,2,4
12448,44,1,449.45,3,1,2,6
12449,22,4,4067.29,4,4,5,13
12450,156,2,197.88,2,2,1,5
12451,10,5,9035.52,5,4,5,14
12452,16,2,430.57,4,2,2,8
12453,134,1,707.09,2,1,3,6
12454,56,1,3528.34,3,1,5,9
12455,73,6,2466.86,2,4,5,11
12456,44,3,3181.04,3,3,5,11
12457,66,7,2363.23,3,5,5,13
12458,71,2,947.4,3,2,4,9
12461,94,2,826.88,2,2,3,7
12462,18,2,1189.59,4,2,4,10
12463,53,4,1344.78,3,4,4,11
12464,10,8,1212.05,5,5,4,14
12465,17,2,742.1899999999999,4,2,3,9
12468,187,2,729.5400000000001,1,2,3,6
12471,2,30,19824.05,5,5,5,15
12472,32,7,6572.11,4,5,5,14
12473,29,5,3938.5499999999997,4,4,5,13
12474,17,18,7375.79,4,5,5,14
